NOM_RBD;NOM_COM_RBD
ESCUELA SARGENTO 2DO DANIEL REBOLLEDO;TALCA
ESCUELA JUAN LUIS SANFUENTES;TALCA
LICEO HECTOR PEREZ BIOTT;TALCA
ESCUELA JOSE M. BALMACEDA Y FERNANDEZ;TALCA
ESCUELA PROSPERIDAD;TALCA
ESCUELA CARLOS SPANO;TALCA
ESCUELA LAS ARAUCARIAS;TALCA
ESCUELA CARLOS SALINAS LAGOS;TALCA
ESCUELA BASICA;TALCA
ESCUELA EL EDEN;TALCA
ESCUELA LA FLORIDA;TALCA
ESCUELA VILLA LA PAZ;TALCA
ESCUELA FELIPE CUBILLOS BRILLA EL SOL;TALCA
ESCUELA AURORA DE CHILE;TALCA
ESCUELA UNO SAN AGUSTIN;TALCA
ESCUELA JOSE ABELARDO NUNEZ;TALCA
LORENZO VAROLI GHERARDI;TALCA
LICEO TECNICO PROFESIONAL AULAS DE ESPERANZA DE TALCA;TALCA
ESCUELA LAS AMERICAS;TALCA
ESCUELA COOPERATIVA LIRCAY MANUEL YAÑEZ OLAVE;TALCA
ESCUELA COSTANERA;TALCA
ESCUELA ANTUPEHUEN;TALCA
ESCUELA ESPERANZA;TALCA
LICEO ABATE MOLINA;TALCA
LICEO IGNACIO CARRERA PINTO;TALCA
ESCUELA HUILQUILEMU;TALCA
ESCUELA VINA PURISIMA;TALCA
ESCUELA SAN MIGUEL;TALCA
ESCUELA EL SAUCE;TALCA
ESCUELA SANTA MARTA;TALCA
ESCUELA PANGUILEMO;TALCA
ESCUELA BASICA PUERTAS NEGRAS;TALCA
ESCUELA EL ORIENTE;TALCA
ESCUELA CENTINELA;TALCA
ESCUELA PARTICULAR AMOR DE DIOS;TALCA
COLEGIO MONSENOR MANUEL LARRAIN;TALCA
COLEGIO INTEGRADO SAN PIO X SECTOR PTE.;TALCA
COLEGIO MARIA RAQUEL;TALCA
INSTITUTO ANDRES BELLO;TALCA
COLEGIO DARIO SALAS;TALCA
COLEGIO CAMILO HENRIQUEZ;TALCA
COLEGIO MARIA MAZZARELLO;TALCA
COLEGIO PIAGET;TALCA
LICEO SANTA TERESITA;TALCA
CENTRO EDUCATIVO SALESIANOS TALCA;TALCA
COLEGIO ARTISTICO DEL MAULE;TALCA
COLEGIO SAN FRANCISCO DE ASIS;TALCA
COLEGIO DE LA SALLE;TALCA
COLEGIO JUAN IGNACIO MOLINA;TALCA
COLEGIO INGLES;TALCA
COLEGIO PARTICULAR MONTESSORI;TALCA
LICEO DE PELARCO;PELARCO
ESCUELA SAN RAFAEL;SAN RAFAEL
ESCUELA HERNAN CIUDAD INOSTROZA;PELARCO
ESCUELA ALTO PANGUE;SAN RAFAEL
ESCUELA PABLO CORREA MONTT;PELARCO
ESCUELA EL MANZANO;PELARCO
ESCUELA DANTE RONCAGLIOLO BAVESTRELLO;SAN RAFAEL
ESCUELA PANGUE ARRIBA;SAN RAFAEL
ESCUELA PANGUE ABAJO;SAN RAFAEL
ESCUELA EL MILAGRO;SAN RAFAEL
ESCUELA WILIBALDO NUNEZ;PELARCO
ESCUELA LIHUENO;PELARCO
ESCUELA PARTICULAR SAN SEBASTIAN;PELARCO
LICEO BICENTENARIO AGROINDUSTRIAL RIO CLARO;RÍO CLARO
ESCUELA BASICA JUAN LUIS SANFUENTES ANDONAEGUI;RÍO CLARO
ESCUELA EL BOLSICO;RÍO CLARO
ESCUELA PORVENIR;RÍO CLARO
ESCUELA LA CHISPA;RÍO CLARO
ESCUELA ODESSA;RÍO CLARO
ESCUELA EL GUINDO;RÍO CLARO
ESCUELA SANTA HERMINIA;RÍO CLARO
ESCUELA CASAS VIEJAS;RÍO CLARO
ESCUELA PASO ANCHO;RÍO CLARO
ESCUELA MAITENES;RÍO CLARO
LICEO SAN CLEMENTE ENTRE RIOS;SAN CLEMENTE
ESCUELA SAN CLEMENTE;SAN CLEMENTE
ESCUELA ARTURO PRAT CHACON;SAN CLEMENTE
ESCUELA AURORA;SAN CLEMENTE
ESCUELA DEIDAMIA PAREDES BELLO;SAN CLEMENTE
ESCUELA RAMADILLAS;SAN CLEMENTE
ESCUELA PUNTA DE DIAMANTE;SAN CLEMENTE
ESCUELA PEUMO NEGRO;SAN CLEMENTE
ESCUELA CORRALONES;SAN CLEMENTE
ESCUELA ENRIQUE CORREA GUZMAN;SAN CLEMENTE
ESCUELA LEOPOLDO GUARDA GEYNTES;SAN CLEMENTE
ESCUELA BELLA UNION;SAN CLEMENTE
ESCUELA QUERI;SAN CLEMENTE
ESCUELA CHEQUEN DE LA PENA;SAN CLEMENTE
ESCUELA BAJO LIRCAY;SAN CLEMENTE
ESCUELA BRAMADERO;SAN CLEMENTE
ESCUELA COREL;SAN CLEMENTE
ESCUELA ELENA BURGOS MOREIRA;SAN CLEMENTE
ESCUELA BAJO PERQUIN;SAN CLEMENTE
ESCUELA SAN DIEGO;SAN CLEMENTE
ESCUELA LOS ROBLES DE VILCHES CENTRO;SAN CLEMENTE
ESCUELA PASO NEVADO;SAN CLEMENTE
ESCUELA LOS MONTES;SAN CLEMENTE
ESCUELA VILCHES ALTO;SAN CLEMENTE
ESCUELA EL COLORADO;SAN CLEMENTE
ESCUELA NACIONES UNIDAS;SAN CLEMENTE
ESCUELA CARRETONES;SAN CLEMENTE
ESCUELA LOS ALMENDROS;SAN CLEMENTE
ESCUELA LA PLACETA;SAN CLEMENTE
ESCUELA FLOR DEL LLANO;SAN CLEMENTE
ESCUELA SANTA ELENA;SAN CLEMENTE
COLEGIO PAULA MONTAL;SAN CLEMENTE
COMPLEJO EDUCACIONAL MAULE;MAULE
ESCUELA VILLA CULENAR;TALCA
ESCUELA CALLEJONES;MAULE
ESCUELA COLIN;MAULE
ESCUELA CHACARILLA;MAULE
ESCUELA RURAL DUAO;MAULE
ESCUELA RURAL NUMPAY;MAULE
ESCUELA QUINIPEUMO;MAULE
ESCUELA EL FUERTE;MAULE
ESCUELA EL CANELO;MAULE
ESCUELA SANTA ROSA DE LAVADEROS;MAULE
ESCUELA LINARES DE PERALES;MAULE
ESCUELA VILLA COBIN;MAULE
LICEO TECNICO AGRICOLA MARIA AUXILIADORA;MAULE
ESCUELA AGRICOLA SAN JOSE DE DUAO;MAULE
LICEO SAN IGNACIO;EMPEDRADO
ESCUELA PEDRO ANTONIO TEJOS TEJOS;EMPEDRADO
ESCUELA MARIA OLGA VEGA VEGA;EMPEDRADO
COMPLEJO EDUCACIONAL PENCAHUE;PENCAHUE
ESCUELA PADRE LUIS OLIVA NAVARRETE;PENCAHUE
ESCUELA CORINTO;PENCAHUE
ESCUELA SANTA LAURA DE LO FIGUEROA;PENCAHUE
ESCUELA LA ESPERANZA DEL FUTURO;PENCAHUE
ESCUELA LA PATAGUA;PENCAHUE
ESCUELA RIVERA DEL MAULE;PENCAHUE
INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ;CONSTITUCIÓN
LICEO CONSTITUCION;CONSTITUCIÓN
ESCUELA ENRIQUE DONN MULLER;CONSTITUCIÓN
ESCUELA SUPERIOR NUEVA BILBAO;CONSTITUCIÓN
ESCUELA CERRO ALTO JOSE OPAZO DIAZ;CONSTITUCIÓN
LICEO TECNICO PROFESIONAL PUTU;CONSTITUCIÓN
LICEO RURAL ENRIQUE MAC IVER;CONSTITUCIÓN
ESCUELA LAS CORRIENTES;CONSTITUCIÓN
ESCUELA JUNQUILLAR;CONSTITUCIÓN
ESCUELA MARIA INES MAROMILLAS;CONSTITUCIÓN
ESCUELA BARRANQUILLAS;CONSTITUCIÓN
ESCUELA COSTA BLANCA;CONSTITUCIÓN
ESCUELA MIGUEL FAUNDEZ MORALES;CONSTITUCIÓN
ESCUELA CARRIZALILLO;CONSTITUCIÓN
ESCUELA TERESA CONSUELO;CONSTITUCIÓN
ESCUELA RURAL QUEBRADA VERDE;CONSTITUCIÓN
ESCUELA SANTA AURORA DE CARRIZAL;CONSTITUCIÓN
ESCUELA LEONTINA LETELIER LETELIER;CONSTITUCIÓN
ESCUELA EDUARDO MACHADO CORSI;CONSTITUCIÓN
ESCUELA PARTICULAR SANTA ROSA;CONSTITUCIÓN
COLEGIO SAN ALBERTO HURTADO;CONSTITUCIÓN
COLEGIO SANTIAGO ONEDERRA;CONSTITUCIÓN
COLEGIO CONSTITUCION;CONSTITUCIÓN
LICEO LUIS EDMUNDO CORREA ROJAS;CUREPTO
ESCUELA FRAY PEDRO ARMENGOL VALENZUELA;CUREPTO
ESCUELA PEDRO ANTONIO GONZALEZ;CUREPTO
ESCUELA LAS MERCEDES;CUREPTO
ESCUELA ELENA ARMIJO MORALES;CUREPTO
ESCUELA ANA LUISA ESPINA RIVERO;CUREPTO
ESCUELA LA TRICHERA;CUREPTO
ESCUELA EL SANTO DE TABUNCO;CUREPTO
ESCUELA CAPILLA DE RAPILERMO;CUREPTO
ESCUELA JUAN JESUS GONZALEZ AVENDAÑO;CUREPTO
ESCUELA LA ORILLA;CUREPTO
ESCUELA DOCAMAVIDA;CUREPTO
ESCUELA CARMEN ROSA MARTINEZ BAEZA;CUREPTO
ESCUELA DOMULGO;CUREPTO
ESCUELA HORNILLOS;CUREPTO
ESCUELA MANANTIALES;CUREPTO
ESCUELA JOSE LUIS RICHARDS GONZALEZ;CUREPTO
ESCUELA JOSE MIGUEL CARRERA;CUREPTO
ESCUELA MAURICIO LETELIER LETELIER;CUREPTO
ESCUELA QUEBRADA DE LOS GUINDOS;CUREPTO
ESCUELA MARINA ROJAS SANDOVAL;CUREPTO
ESCUELA GASPAR HERRERA HERRERA;CUREPTO
ESCUELA SAN FRANCISCO DE ASIS;CUREPTO
ESCUELA ALAMEDA LINARES;LINARES
LICEO VALENTIN LETELIER;LINARES
INSTITUTO COMERCIAL;LINARES
ESCUELA UNO ISABEL RIQUELME;LINARES
ESCUELA PRESIDENTE CARLOS IBANEZ DEL C.;LINARES
COLEGIO MARGOT LOYOLA PALACIOS;LINARES
LICEO TECNICO PROFESIONAL DIEGO PORTALES;LINARES
JUAN MARTINEZ DE ROZAS;LINARES
ESCUELA SANTA BARBARA;LINARES
ESCUELA RAMON BELMAR SALDIAS;LINARES
ESCUELA ALEJANDRO GIDI;LINARES
ESCUELA BASICA ESPANA;LINARES
ESCUELA LOS LEONES;LINARES
PEDRO AGUIRRE CERDA;LINARES
ESCUELA MAITENES;LINARES
ESCUELA SAN VICTOR ALAMOS;LINARES
ESCUELA LAS TOSCAS;LINARES
ESCUELA SAN ANTONIO;LINARES
ESCUELA GRACIELA LETELIER;LINARES
ESCUELA SALOMON SALMAN DABUD;LINARES
ESCUELA LAS HORNILLAS;LINARES
JANUARIO ESPINOSA;LINARES
ESCUELA LOS HUALLES;LINARES
ESCUELA CHUPALLAR;LINARES
ESCUELA MATIAS COUSINO;LINARES
ESCUELA JORGE HERRERA GUZMAN;LINARES
ESCUELA EL CULMEN;LINARES
ESCUELA VIOLETA PARRA;LINARES
ESCUELA LLANKANAO MANUEL FRANCISCO MEZA SECO;LINARES
ESCUELA BELLAVISTA;LINARES
ESCUELA LOS MOGOTES;LINARES
ESCUELA CAMILO HENRIQUEZ;LINARES
ESCUELA DE ROBLERIA;LINARES
LICEO MARIA AUXILIADORA;LINARES
ESCUELA BASICA ALCALDE HECTOR PINOCHET C;LINARES
ESCUELA PARTICULAR GABRIELA MISTRAL;LINARES
COLEGIO PARTICULAR MANUEL BULNES;LINARES
ESC.AGRIC.PART.SALESIANA DON BOSCO;LINARES
ESCUELA PARTICULAR PROSPERO VILLAR BRAVO;LINARES
LICEO NUESTRA SEÑORA DEL ROSARIO;LINARES
ESCUELA MARCELA PAZ;LINARES
INSTITUTO LINARES;LINARES
COLEGIO LA PROVIDENCIA;LINARES
COLEGIO AMELIA TRONCOSO;LINARES
COLEGIO SAN MIGUEL ARCANGEL;LINARES
LICEO POLITECNICO DE LINARES;LINARES
COLEGIO CONCEPCION LINARES;LINARES
COLEGIO EVANGELICO ADONAY;LINARES
ESCUELA LUCILA GODOY;LINARES
LICEO JUAN DE DIOS PUGA;YERBAS BUENAS
ESCUELA MAITENCILLO;YERBAS BUENAS
ESCUELA SILVANO FERNANDEZ;YERBAS BUENAS
ESCUELA SANTA ANA DE QUERI;YERBAS BUENAS
LICEO JUAN GOMEZ MILLAS;YERBAS BUENAS
ESCUELA JORGE SALGADO PICA;YERBAS BUENAS
ESCUELA ALFREDO NOGUERA PRIETO;VILLA ALEGRE
ESCUELA BERNARDO OHIGGINS;YERBAS BUENAS
ESCUELA SANTA ELENA;YERBAS BUENAS
ESCUELA COIRONAL;YERBAS BUENAS
ESCUELA LUIS AMBROSIO CONCHA;YERBAS BUENAS
ESCUELA PARTICULAR ARTURO PRAT;YERBAS BUENAS
ESCUELA AGRICOLA MARTA MARTINEZ CRUZ;YERBAS BUENAS
LICEO CAPITAN IGNACIO CARRERA PINTO;COLBÚN
ESCUELA MAULE SUR;COLBÚN
ESCUELA LA FLORESTA;COLBÚN
ESCUELA ANDRES BELLO;COLBÚN
ESCUELA CARLOS DEL CAMPO RIVERA;COLBÚN
ESCUELA MONSENOR MANUEL LARRAIN E.;COLBÚN
ESCUELA PANIMAVIDA;COLBÚN
ESCUELA RARI;COLBÚN
ESCUELA AMALIA AMSTRONG DE TORRES;COLBÚN
ESCUELA KURT MOLLER BOCHERENS;COLBÚN
ESCUELA LA GUARDIA;COLBÚN
ESCUELA LOMAS DE PUTAGAN;COLBÚN
ESCUELA SANTA ELENA;COLBÚN
ESCUELA PARTICULAR MARTA BRUNET;COLBÚN
LICEO ARTURO ALESSANDRI PALMA;LONGAVÍ
ESCUELA JUAN DE LA CRUZ DOMINGUEZ G.;LONGAVÍ
ESCUELA ANSELMO DEL CARMEN TAPIA LOYOLA;LONGAVÍ
ESCUELA ROBERTO OPAZO GALVEZ;LONGAVÍ
ESCUELA ONOFRE VASQUEZ NORAMBUENA;LONGAVÍ
ESCUELA GABRIELA MISTRAL;LONGAVÍ
ESCUELA CARDENAL JOSE MARIA CARO;LONGAVÍ
ESCUELA JOSE MIGUEL CARRERA;LONGAVÍ
LICEO LAURA URRUTIA BENAVENTE;LONGAVÍ
ESCUELA FRANCISCO URRUTIA URRUTIA;LONGAVÍ
ESCUELA GABRIEL BENAVENTE BENAVENTE;LONGAVÍ
ESCUELA LUIS PEREIRA INIGUEZ;LONGAVÍ
ESCUELA MARIA AMBROSIA TAPIA MENDEZ;LONGAVÍ
ESCUELA CARLOS MONTERO JARAMILLO;LONGAVÍ
ESCUELA DOMINGA CUELLAR IBANEZ;LONGAVÍ
ESCUELA JUAN SEGUNDO MUNOZ BRIONES;LONGAVÍ
ESCUELA ROBERTO MUNOZ VALDES;LONGAVÍ
ESCUELA PAULA JARAQUEMADA;LONGAVÍ
ESCUELA EL CARMEN;LONGAVÍ
ESCUELA CARLOS CONDELL;LONGAVÍ
ESCUELA MARCELA PAZ;LONGAVÍ
ESCUELA MANUEL ROZAS ARISTIA;LONGAVÍ
ESCUELA SOFIA VASQUEZ REBOLLEDO;LONGAVÍ
ESCUELA ANGEL CRUCHAGA SANTA MARIA;LONGAVÍ
ESCUELA PEDRO ALESSANDRI VARGAS;LONGAVÍ
ESCUELA SANTIAGO BUERAS AVARIA;LONGAVÍ
ESCUELA RAMBERTO CARRERA MARTINEZ;LONGAVÍ
ESCUELA PARTICULAR NRO 9 LOS CERRILLOS;LONGAVÍ
LICEO FEDERICO HEISE MARTI;PARRAL
ESCUELA SANTIAGO URRUTIA BENAVENTE;PARRAL
ESCUELA LUIS ARMANDO GOMEZ MUNOZ;PARRAL
ESCUELA ARRAU MENDEZ;PARRAL
ESCUELA NIDER ORREGO QUEVEDO;PARRAL
ESCUELA JUANITA ZUNIGA FUENTES;PARRAL
ESCUELA JOSE MATTA CALLEJON;PARRAL
COLEGIO ALBERTO MOLINA CASTILLO;PARRAL
ESCUELA EL LIBERTADOR;PARRAL
ESCUELA FRANCISCO PEREZ LAVIN;PARRAL
ESCUELA IGNACIO URRUTIA DE LA SOTTA;PARRAL
ESCUELA ARMANDO GUZMAN MORALES;PARRAL
ESCUELA CARLOS ZINIGA FUENTES;PARRAL
ESCUELA FRANCISCO MAUREIRA;PARRAL
ESCUELA VILLA REINA;PARRAL
ESCUELA SOLANO CASTILLO TAPIA;PARRAL
ESCUELA RAFAEL RETAMAL LOPEZ;PARRAL
ESCUELA EL CIENAGO;PARRAL
ESCUELA JUAN BULNES ALDUNATE;PARRAL
ESCUELA LA FORTUNA;PARRAL
INSTITUTO PARRAL;PARRAL
COLEGIO SAN JOSE;PARRAL
COLEGIO PARTICULAR PROVIDENCIA;PARRAL
COLEGIO CONCEPCION DE PARRAL;PARRAL
LICEO GUILLERMO MARIN LARRAIN;RETIRO
ESCUELA MANUEL MONTT;RETIRO
ESCUELA COPIHUE;RETIRO
ESCUELA RAMON BARROS LUCO;RETIRO
ESCUELA SAN ISIDRO;RETIRO
ESCUELA GERTRUDIS ALARCON ARCE;RETIRO
COLEGIO AJIAL;RETIRO
COLEGIO ROBINSON CABRERA BELTRAN;RETIRO
ESCUELA AMANDA BENAVENTE D.;RETIRO
ESCUELA ROMERAL;RETIRO
ESCUELA SANTA ADRIANA;RETIRO
ESCUELA SANTA ISABEL;RETIRO
ESCUELA SAN RAMON;RETIRO
ESCUELA SANTA DELFINA;RETIRO
ESCUELA PATRICIO LARRAIN VALENZUELA;RETIRO
ESCUELA SANTA CECILIA;RETIRO
ESCUELA LOS ROBLES;RETIRO
ESCUELA MANTUL;RETIRO
ESCUELA MARIA IGNACIA MENA MONROY;RETIRO
ESCUELA LA CAPILLA;RETIRO
COLEGIO BICENTENARIO POLIVALENTE LAS CAMELIAS;RETIRO
LICEO FRANCISCO ANTONIO ENCINA ARMANET;VILLA ALEGRE
ESCUELA TIMOTEO ARAYA ALEGRIA;VILLA ALEGRE
ESCUELA MALAQUIAS CONCHA ORTIZ;VILLA ALEGRE
ESCUELA HERNAN LOBOS ARIAS;VILLA ALEGRE
ESCUELA ALCALDE SERAFIN GUTIERREZ F.;VILLA ALEGRE
ESCUELA ALCALDE ORLANDO RODRIGUEZ DEL C.;VILLA ALEGRE
ESCUELA ALCALDE MANUEL SALVADOR DEL C.;VILLA ALEGRE
ESCUELA ASCENCIO ASTORQUIZA ZABALA;VILLA ALEGRE
ESCUELA TRINIDAD ALCAINO TAPIA;VILLA ALEGRE
ESCUELA PROFESOR RAMON LEIVA NARVAEZ;VILLA ALEGRE
ESCUELA JOSE PALMA FERNANDEZ;VILLA ALEGRE
ESCUELA AGRICOLA SAGRADOS CORAZONES;VILLA ALEGRE
LICEO MANUEL MONTT;SAN JAVIER
ESCUELA JOSE MANUEL BALMACEDA;SAN JAVIER
ESCUELA MANUEL DE SALAS;SAN JAVIER
ESCUELA JUSTA NARVAEZ;SAN JAVIER
ESCUELA GERONIMO LAGOS LISBOA;SAN JAVIER
ESCUELA IRENE MORALES;SAN JAVIER
ESCUELA JORGE GONZALEZ BASTIAS;SAN JAVIER
ESCUELA JULIO MONTT SALAMANCA;SAN JAVIER
ESCUELA JUAN DE DIOS ALDEA;SAN JAVIER
ESCUELA BERNARDO OHIGGINS;SAN JAVIER
ESCUELA MANUEL RODRIGUEZ;SAN JAVIER
ESCUELA PEDRO LAGOS;SAN JAVIER
ESCUELA JOSE MIGUEL CARRERA;SAN JAVIER
ADELAIDA RIQUELME MESA;SAN JAVIER
ESCUELA INES DE SUAREZ;SAN JAVIER
ESCUELA RAMON CARNICER;SAN JAVIER
ESCUELA CANDELARIA PEREZ;SAN JAVIER
ESCUELA MARIANO EGANA;SAN JAVIER
ESCUELA MARIANO LATORRE;SAN JAVIER
ESCUELA CARLOS CONDELL;SAN JAVIER
ESCUELA AURELIO MEZA RIVERA;SAN JAVIER
ESCUELA CAMILA MATTA VIAL;SAN JAVIER
COLEGIO PARTICULAR SAN JOSE;SAN JAVIER
INSTITUTO REGIONAL DEL MAULE;SAN JAVIER
COLEGIO PARTICULAR PIAGET;SAN JAVIER
LICEO SAGRADOS CORAZONES;SAN JAVIER
ESCUELA MARIANO LATORRE;CAUQUENES
LICEO ANTONIO VARAS;CAUQUENES
LICEO CLAUDINA URRUTIA DE LAVIN;CAUQUENES
LICEO POLITECNICO PEDRO AGUIRRE CERDA;CAUQUENES
ESCUELA ANIBAL PINTO;CAUQUENES
COLEGIO BLANCO ENCALADA;CAUQUENES
ESCUELA ARTISTICA BARRIO ESTACION;CAUQUENES
ESCUELA INDEPENDENCIA;CAUQUENES
ESCUELA ECOLOGICA ROSITA OHIGGINS;CAUQUENES
ESCUELA PORONGO;CAUQUENES
ESCUELA PURISIMA CONCEPCION DE POCILLAS;CAUQUENES
ESCUELA LOS CONQUISTADORES;CAUQUENES
ESCUELA ADOLFO QUIROZ HERNANDEZ;CAUQUENES
ESCUELA CLORINDO ALVEAR;CAUQUENES
ESCUELA OCTAVIO PALMA PEREZ;CAUQUENES
ESCUELA HECTOR SILVESTRE PAIVA MANRIQUEZ;CAUQUENES
ESCUELA JAVIERA CARRERA;CAUQUENES
ESCUELA PEDRO DE VALDIVIA;CAUQUENES
ESCUELA RINCON DE PILEN;CAUQUENES
ESCUELA PEDERNALES;CAUQUENES
ESCUELA MARIA GONZALEZ VERA;CAUQUENES
ESCUELA CHORRILLOS;CAUQUENES
ESCUELA ESTER URRUTIA DE RUIZ;CAUQUENES
ESCUELA LA CAPILLA DE PILEN ALTO;CAUQUENES
ESCUELA MIXTA ATENEA;CAUQUENES
ESCUELA LA PATAGUA;CAUQUENES
ESCUELA EL TROZO;CAUQUENES
ESCUELA CABRERIA;CAUQUENES
LICEO INMACULADA CONCEPCION;CAUQUENES
LICEO PELLUHUE;PELLUHUE
ESCUELA GLADYS CANALES PAREDES;PELLUHUE
ESCUELA BLANCA BUSTOS CASTILLO;PELLUHUE
ESCUELA SAN ALFONSO CANELILLO;PELLUHUE
ESCUELA JOSE RIVAS HERNANDEZ;PELLUHUE
ESCUELA ESCRITORA MARCELA PAZ;PELLUHUE
ESCUELA BENITO MANCILLA PEREZ;PELLUHUE
LICEO FEDERICO ALBERT FAUPP;CHANCO
ESCUELA LOS HEROES;CHANCO
ESCUELA SAN AMBROSIO;CHANCO
ESCUELA PAHUIL;CHANCO
ESCUELA CARRERAS CORTAS;CHANCO
ESCUELA LOS PEUMOS;CHANCO
ESCUELA GABRIELA MISTRAL;CHANCO
ESCUELA RELOCA;CHANCO
ESCUELA EL SAUCE;CHANCO
ESCUELA RICARDO SALGADO;CHANCO
ESCUELA EMA VASQUEZ GUTIERREZ;CHANCO
ESCUELA ANTONIETA LEON VERDUGO;CHANCO
ESCUELA QUINIPATO;CHANCO
ESCUELA LOANCO;CHANCO
LICEO BICENTENARIO MARTA BRUNET CÁRAVES;CHILLÁN
LICEO NARCISO TONDREAU;CHILLÁN
INSTITUTO SUPERIOR DE COMERCIO PROFESOR FERNANDO PÉREZ BECERRA;CHILLÁN
INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁN;CHILLÁN
INSTITUTO TÉCNICO MABEL CONDEMARÍN GRIMBERG;CHILLÁN
LICEO MARTIN RUIZ DE GAMBOA;CHILLÁN
ESCUELA NUEVA ESPERANZA;CHILLÁN
LICEO VIDA NUEVA;CHILLÁN
LICEO POLIVALENTE JUAN PACHECO ALTAMIRANO;CHILLÁN VIEJO
LICEO LIBERTADOR BERNARDO O´HIGGINS RIQUELME;CHILLÁN
ESCUELA ARTURO MERINO BENITEZ;CHILLÁN
ESCUELA GABRIELA MISTRAL;CHILLÁN
LICEO REPÚBLICA DE ITALIA ARTURO BONOMETTI BROGI;CHILLÁN
ESCUELA REPUBLICA DE MEXICO;CHILLÁN
ESCUELA BASICA EL TEJAR;CHILLÁN
ESCUELA MARIA AMALIA SAAVEDRA MARTINEZ;CHILLÁN
ESCUELA BASICA LA CASTILLA;CHILLÁN
ESCUELA PALESTINA;CHILLÁN
ESCUELA BÁSICA ROSITA O´HIGGINS RIQUELME;CHILLÁN
ESCUELA BASICA REYES DE ESPANA;CHILLÁN
ESCUELA BASICA JUAN MADRID AZOLA;CHILLÁN
ESC. BASICA ARTURO MUTIZABAL SOTOMAYOR;CHILLÁN
ESCUELA BASICA QUILAMAPU;CHILLÁN
ESCUELA BASICA JOSE MARIA CARO RODRIGUEZ;CHILLÁN
ESCUELA BASICA LAS CANOAS;CHILLÁN
ESCUELA 27 DE ABRIL;CHILLÁN
ESCUELA BASICA CAPILLA COX;CHILLÁN
ESCUELA BASICA RUCAPEQUEN;CHILLÁN VIEJO
ESCUELA BASICA QUINCHAMALI;CHILLÁN
ESCUELA BASICA NEBUCO;CHILLÁN VIEJO
ESCUELA BASICA EL PEUMO;SAN NICOLÁS
ESCUELA PAUL HARRIS;CHILLÁN
ESCUELA BASICA LLOLLINCO;CHILLÁN VIEJO
ESCUELA BASICA CONFLUENCIA;CHILLÁN
ESCUELA BASICA QUILMO;CHILLÁN VIEJO
ESCUELA ANTONIO MACHADO;CHILLÁN
ESCUELA BASICA COLLIGUAY;CHILLÁN
ESCUELA LOS JARDINES DE LAUTARO;CHILLÁN
ESCUELA BASICA LOS COLIGUES;CHILLÁN VIEJO
ESCUELA BASICA PUENTE EL ALA;SAN NICOLÁS
COLEGIO DE LA PURISIMA CONCEPCION;CHILLÁN
COLEGIO SEMINARIO PADRE ALBERTO HURTADO;CHILLÁN
ESCUELA PARTICULAR ADVENTISTA;CHILLÁN
ESCUELA BASICA PARTICULAR EL LIBERTADOR;CHILLÁN
ESCUELA PARTICULAR HISPANO AMERICANO;CHILLÁN
INSTITUTO SANTA MARIA;CHILLÁN
COLEGIO COYAM;CHILLÁN
DEUTSCHE SCHULE CHILLAN;CHILLÁN
COLEGIO DARIO SALAS;CHILLÁN
COLEGIO SAN VICENTE DE PAUL;CHILLÁN
COLEGIO CRISTIANO HOREB;CHILLÁN VIEJO
COLEGIO SAN BUENAVENTURA;CHILLÁN
COLEGIO SAGRADO CORAZÓN DE JESÚS;CHILLÁN
COLEGIO SAN VALENTIN;CHILLÁN VIEJO
COLEGIO GABRIELA MISTRAL;CHILLÁN
COLEGIO CHILLAN;CHILLÁN
LICEO AGRÍCOLA DE CHILLÁN A-8;CHILLÁN
ESCUELA GENERAL DOMINGO URRUTIA;SAN CARLOS
CENTRO EDUCACIÓN INTEGRAL ADULTOS CLAUDIO MATTE PÉREZ;SAN CARLOS
LICEO POLITECNICO CAP. IGNACIO CARRERA P;SAN CARLOS
LICEO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS;SAN CARLOS
ESCUELA GENERAL JOSÉ MIGUEL CARRERA VERDUGO;SAN CARLOS
ESCUELA GENERAL SOFANOR PARRA HERMOSILLA;SAN CARLOS
ESCUELA FRANCISCO MOYA CLEMENT;SAN CARLOS
ESCUELA JOAQUIN DEL PINO ROZAS Y NEGRETE;SAN CARLOS
ESCUELA BULI;SAN CARLOS
ESCUELA NINQUIHUE;SAN CARLOS
ESCUELA AGUA BUENA;SAN CARLOS
ESCUELA EL CARBON;SAN CARLOS
ESCUELA CACHAPOAL;SAN CARLOS
ESCUELA RIBERA DE NUBLE;SAN CARLOS
ESCUELA MONTE BLANCO;SAN CARLOS
ESCUELA QUINQUEHUA;SAN CARLOS
ESCUELA LAS ARBOLEDAS;SAN CARLOS
ESCUELA QUILELTO;SAN CARLOS
ESCUELA MILLAUQUEN;SAN CARLOS
ESCUELA MANUEL ANTONIO CASTILLO VELASCO;SAN CARLOS
ESCUELAS LAS JUNTAS;SAN CARLOS
ESCUELA JUNQUILLO;SAN CARLOS
ESCUELA TRES ESQUINAS;SAN CARLOS
ESCUELA EL SAUCE;SAN CARLOS
ESCUELA EL TORREON;SAN CARLOS
INSTITUTO SANTA MARIA DE SAN CARLOS;SAN CARLOS
