Sierra Gorda,3195.1
Ollagüe,2150.5
Providencia,1852.5
Santiago,1483.5
Tierra Amarilla,1354.1
Algarrobo,1321.2
El Tabo,1242.9
Puchuncaví,1238.3
Caldera,1174.9
Concepción,1173.3
Chañaral,1151.9
El Quisco,1145.4
La Cisterna,1119.3
Pozo Almonte,1089.6
Cerrillos,1069.5
San Miguel,1060.6
Cartagena,1040.5
Estación Central,1012.6
Calama,998.6
Recoleta,983.7
Pucón,970.6
Colchane,950
Quinta Normal,946.1
Mostazal,945.2
Valparaíso,932.7
Pichilemu,909.2
Concón,902.4
La Higuera,889.1
Iquique,869.2
Los Andes,860
Rancagua,849.6
San Pedro de Atacama,841.2
Valdivia,840.4
Copiapó,831.9
Viña del Mar,829.7
Quintero,820
Litueche,815.7
Arica,796.8
Osorno,789.7
Talca,788.8
La Reina,786
Graneros,775.6
Ovalle,773.1
La Florida,756.5
Alto Hospicio,755.5
Ñuñoa,754.7
Antofagasta,750.7
Empedrado,739.2
Los Ángeles,737.7
San Antonio,735.5
San Joaquín,734.8
Temuco,733.6
Casablanca,729.3
Lo Prado,727.8
Chillán,723.5
María Elena,718.1
Castro,715.5
Yumbel,708
Huasco,707.1
La Serena,707
Vicuña,702.3
Puerto Montt,698.4
Villarrica,697.2
Coquimbo,693.4
Macul,691.6
Mulchén,691.4
Vitacura,689.2
San Felipe,684.9
Pemuco,684.8
San Bernardo,684.3
Lebu,681.7
Puerto Varas,679.9
Lo Espejo,678.8
Talagante,675.3
Curicó,670.7
Linares,670.4
Mejillones,667.5
Santa Juana,666.8
Pudahuel,666.8
Vallenar,661.4
Bulnes,660.7
Talcahuano,656.4
Juan Fernández,651.8
Camiña,650.8
Rengo,649.4
Pica,648.8
Victoria,641.7
Renaico,640.5
Buin,640.2
San Fernando,636.5
Quilpué,633.9
La Calera,633.7
Codegua,632.9
Independencia,631.7
Pelluhue,628.3
Arauco,628.3
Coronel,628.1
San Ramón,627.4
Nogales,627.3
San José de Maipo,627.3
Conchalí,626.8
Huechuraba,626.6
Pedro Aguirre Cerda,625.4
Gorbea,621.8
San Rosendo,614.4
Renca,613.5
Hualpén,601.6
Cabrero,594.8
Treguaco,592.7
Coinco,592
Parral,592
Las Condes,587.8
Taltal,583.4
Quirihue,580.7
Mariquina,579.3
Chillán Viejo,578.3
Los Vilos,576.8
San Juan de la Costa,570.6
Curacaví,568.3
La Granja,567.8
Quillota,566.4
Quellón,564.8
Frutillar,560
La Unión,557.6
Los Lagos,555.4
Tocopilla,554.8
Hualaihué,554.3
Nancagua,550
Zapallar,549.2
Tomé,547.7
Navidad,540.8
Los Álamos,540.5
San Javier,538.7
Cerro Navia,537.1
El Bosque,536.8
San Pedro de La Paz,534.6
Salamanca,534.5
Tiltil,531
Angol,529.4
Santo Domingo,528.7
Laja,522.8
Paillaco,521.9
Curacautín,521.8
Santa Cruz,520.5
Romeral,519.4
Maipú,519.4
Calera de Tango,519.2
Aysén,517.1
Molina,511.9
Requínoa,511.5
Lampa,510.1
Río Negro,507.7
La Pintana,507.6
Cañete,507.4
Vilcún,507.2
Rinconada,505.9
Catemu,503.8
Diego de Almagro,502.2
Lota,498
Colina,496.4
Corral,496.4
Nueva Imperial,494.2
San Rafael,490.7
La Ligua,490.6
Paiguano,489.6
Limache,489.5
Penco,489.5
Curanilahue,489.2
Melipilla,489.1
Quilicura,486.5
San Carlos,485
Puente Alto,482.5
Nacimiento,482.1
Traiguén,481.8
Río Verde,478.5
Quillón,477.5
Futrono,472.7
San Vicente,471.7
Peñalolén,468
Calle Larga,467.9
Chile Chico,466.2
Panquehue,464.8
San Nicolás,461.9
Purén,461.1
Hijuelas,460.9
Llaillay,460.2
Peñaflor,459.1
Teno,458.7
Santa Bárbara,457.5
Constitución,457
Los Sauces,453.5
Villa Alemana,452.8
Lautaro,452.2
Tirúa,451.7
Paine,450.1
San Pedro,448.1
Andacollo,448.1
Peumo,446.5
Villa Alegre,444.1
Santa María,443.5
Isla de Maipo,442.5
Las Cabras,439.8
Palena,439.1
Florida,438.3
Olivar,438.3
Chimbarongo,438.1
Negrete,437.5
Padre Hurtado,434.1
Collipulli,432.2
Tucapel,430.8
Panguipulli,429
Pitrufquén,428.4
San Clemente,428.2
Porvenir,426.7
Huara,424.4
María Pinto,424.2
Pinto,423.6
Coyhaique,421.4
Coelemu,420.5
Loncoche,419.7
Máfil,419.7
La Estrella,418.1
Longaví,417.9
Retiro,417.9
El Monte,417.7
Papudo,410.7
San Pablo,407.7
Río Ibáñez,406.2
Llanquihue,399.9
Yerbas Buenas,399.7
Freirina,398.5
Queilén,396.8
Cabildo,395.5
Curarrehue,395.2
Purranque,394.7
Río Bueno,394.3
Antuco,393.8
Malloa,393.1
Ancud,392.9
El Carmen,391.1
San Esteban,391
Ninhue,390
Laguna Blanca,389.1
Pelarco,389.1
Combarbalá,389
Machalí,388.9
Freire,384.6
Monte Patria,383
Pencahue,382.7
San Fabián,380.7
Natales,379.3
Torres del Paine,379.1
Marchigüe,377.7
Canela,377.5
Olmué,374.2
Guaitecas,373.4
General Lagos,371.7
Placilla,368.4
Alhué,366.1
Coihueco,365.3
Saavedra,361.4
Río Claro,361.2
Isla de Pascua,360.4
Ercilla,356.2
Colbún,355.9
San Ignacio,354.9
Chonchi,352.8
Yungay,352.4
Lolol,352.3
Hualqui,350.9
Chiguayante,350.3
Illapel,349
Tortel,345.4
Licantén,343.2
Carahue,341
Punitaqui,339.9
La Cruz,337.7
Cunco,337.6
Quilaco,334.3
Lo Barnechea,333.2
Calbuco,333.1
Puerto Octay,328.8
Portezuelo,326
Lonquimay,324.7
Cauquenes,322.6
Vichuquén,322.1
Lumaco,320.8
Padre Las Casas,313.7
Lanco,313.5
Putaendo,313.5
Pumanque,311.7
Fresia,309.1
Dalcahue,307.7
Peralillo,307.6
Maule,301.5
Paredones,301.2
San Gregorio,300.3
Contulmo,299.4
O'Higgins,298.5
Doñihue,293.1
Chépica,292.7
Lago Ranco,291.6
Cisnes,290.3
Perquenco,289.5
Melipeuco,285.9
Cobquecura,285.6
Teodoro Schmidt,285.3
Pirque,283.1
Toltén,280.2
Quilleco,279.7
Chanco,279.6
Rauco,278
Ñiquén,277
Ránquil,270.5
Puyehue,262.5
Palmilla,260.1
Los Muermos,258
Galvarino,253.8
Río Hurtado,253.3
Sagrada Familia,249.7
Coltauco,244
Pichidegua,243.6
Maullín,243
Quinchao,242.7
Cochrane,242.1
Punta Arenas,235.9
Putre,235.5
Hualañé,234.6
Cholchol,231.9
Petorca,226.3
Curepto,215.4
Quinta de Tilcoco,212.8
Futaleufú,209.6
Alto del Carmen,208.1
Cabo de Hornos,202.2
Curaco de Vélez,194.9
Quemchi,171
Alto Biobío,161.9
Camarones,161
Cochamó,125.8
Puqueldón,119.2
Chaitén,118.8
Lago Verde,109.1
Timaukel,0
Antártica,0
Primavera,0
