PK_NOMBRE_COMUNA,FK_NOMBRE_REGION
Pelluhue,region del maule
Chanco,region del maule
Cauquenes,region del maule
San rafael,region del maule
San clemente,region del maule
Rio claro,region del maule
Pencahue,region del maule
Pelarco,region del maule
Maule,region del maule
Empedrado,region del maule
Curepto,region del maule
Constitucion,region del maule
Talca,region del maule
Santa cruz,region del libertador general bernardo ohiggins
Pumanque,region del libertador general bernardo ohiggins
Placilla,region del libertador general bernardo ohiggins
Peralillo,region del libertador general bernardo ohiggins
Palmilla,region del libertador general bernardo ohiggins
Nancagua,region del libertador general bernardo ohiggins
Lolol,region del libertador general bernardo ohiggins
Chimbarongo,region del libertador general bernardo ohiggins
San fernando,region del libertador general bernardo ohiggins
Chepica,region del libertador general bernardo ohiggins
Paredones,region del libertador general bernardo ohiggins
Navidad,region del libertador general bernardo ohiggins
Marchihue,region del libertador general bernardo ohiggins
Litueche,region del libertador general bernardo ohiggins
La estrella,region del libertador general bernardo ohiggins
Pichilemu,region del libertador general bernardo ohiggins
San vicente,region del libertador general bernardo ohiggins
Rengo,region del libertador general bernardo ohiggins
Requinoa,region del libertador general bernardo ohiggins
Quinta de tilcoco,region del libertador general bernardo ohiggins
Pichidegua,region del libertador general bernardo ohiggins
Peumo,region del libertador general bernardo ohiggins
Olivar,region del libertador general bernardo ohiggins
Mostazal,region del libertador general bernardo ohiggins
Malloa,region del libertador general bernardo ohiggins
Machali,region del libertador general bernardo ohiggins
Las cabras,region del libertador general bernardo ohiggins
Graneros,region del libertador general bernardo ohiggins
Donihue,region del libertador general bernardo ohiggins
Coltauco,region del libertador general bernardo ohiggins
Coinco,region del libertador general bernardo ohiggins
Codegua,region del libertador general bernardo ohiggins
Rancagua,region del libertador general bernardo ohiggins
Olmue,region de valparaiso
Quilpue,region de valparaiso
Villa alemana,region de valparaiso
Limache,region de valparaiso
Santa maria,region de valparaiso
Putaendo,region de valparaiso
Panquehue,region de valparaiso
Catemu,region de valparaiso
Llaillay / llayllay,region de valparaiso
San felipe,region de valparaiso
Santo domingo,region de valparaiso
El tabo,region de valparaiso
El quisco,region de valparaiso
Cartagena,region de valparaiso
Algarrobo,region de valparaiso
San antonio,region de valparaiso
Nogales,region de valparaiso
La cruz,region de valparaiso
Hijuelas,region de valparaiso
La calera,region de valparaiso
Quillota,region de valparaiso
Zapallar,region de valparaiso
Petorca,region de valparaiso
Papudo,region de valparaiso
Cabildo,region de valparaiso
La ligua,region de valparaiso
San esteban,region de valparaiso
Rinconada,region de valparaiso
Calle larga,region de valparaiso
Los andes,region de valparaiso
Isla de pascua,region de valparaiso
Vina del mar,region de valparaiso
Quintero,region de valparaiso
Puchuncavi,region de valparaiso
Isla juan fernandez,region de valparaiso
Concon,region de valparaiso
Casablanca,region de valparaiso
Valparaiso,region de valparaiso
Rio hurtado,region de coquimbo
Punitaqui,region de coquimbo
Monte patria,region de coquimbo
Combarbala,region de coquimbo
Ovalle,region de coquimbo
Los vilos,region de coquimbo
Salamanca,region de coquimbo
Canela,region de coquimbo
Illapel,region de coquimbo
Vicuna,region de coquimbo
Paihuano,region de coquimbo
La higuera,region de coquimbo
Andacollo,region de coquimbo
Coquimbo,region de coquimbo
La serena,region de coquimbo
Huasco,region de atacama
Freirina,region de atacama
Alto del carmen,region de atacama
Chanaral,region de atacama
Tierra amarilla,region de atacama
Vallenar,region de atacama
Diego de almagro,region de atacama
Caldera,region de atacama
Copiapo,region de atacama
San pedro de atacama,region de antofagasta
Sierra gorda,region de antofagasta
Mejillones,region de antofagasta
Maria elena,region de antofagasta
Tocopilla,region de antofagasta
Ollague,region de antofagasta
Calama,region de antofagasta
Taltal,region de antofagasta
Antofagasta,region de antofagasta
Pica,region de tarapaca
Huara,region de tarapaca
Colchane,region de tarapaca
Camina,region de tarapaca
Pozo almonte,region de tarapaca
Iquique,region de tarapaca
Alto hospicio,region de tarapaca
Arica,region de arica y parinacota
General lagos,region de arica y parinacota
Putre,region de arica y parinacota
Camarones,region de arica y parinacota
