PK_NOMBRE_ESCUELA;FK_COMUNA;
Estadio Municipal Enrique Donn Muller;Constitucion;
Estadio Municipal Patricio Mekis;Rancagua;
Estadio Municipal Guillermo Saavedra;Rancagua;
Estadio Municipal Nelson Valenzuela Rojas;Parral;
Estadio Municipal Eugenio Castro Gonzalez;El Quisco;
Estadio Municipal Fernando Ross Marchessi;Cartagena;
Estadio Municipal de Nogales;Nogales;
Estadio Soinca;Melipilla;
Estadio Polideportivo de Calama;Calama;
Estadio Municipal de Mejillones;Mejillones;
Estadio Municipal de Chiguayante;Concepcion ;
Estadio Municipal de Molina;Molina;
Estadio Municipal de Maria Elena;Maria Elena;
Estadio Municipal Samuel Valk;Los Lagos;
Estadio Esparta;Santiago ;
Estadio Municipal de Teno;Teno;
Estadio Municipal Belmor Rojas Iriarte;Taltal;
Estadio Municipal Alcalde Camilo Perez Vicencio;Puchuncavi;
Estadio Municipal Los Notros;Loncoche;
Estadio Municipal de Lautaro;Lautaro;
Estadio CARR Feruchi;Santiago ;
Estadio Municipal Sur;Talca;
Estadio Municipal de Los Muermos;Los Muermos;
Estadio Carcel Colina I;Colina;
Estadio Municipal de Hijuelas;Hijuelas;
Estadio Complejo Deportivo Cemento Melon;La Calera;
Estadio Las Torres;Vina del Mar;
Cancha 5 Sergio Marchant Munoz;Antofagasta;
Complejo Deportivo Parcela 41;La Serena;
Estadio Municipal Enrique Doll Rojas;La Ligua;
Estadio Atletico Eliana Gaete Lazo;Santiago ;
Estadio Parque La Piscina;Curanilahue;
Estadio Municipal de San Jose de Maipo;San Jose de Maipo;
Estadio Municipal Fernando Cornejo;Quinta de Tilcoco;
Estadio Municipal Arturo Echazarreta Larrain;Casablanca;
Estadio Municipal de Santa Maria;Santa Maria;
Estadio Municipal Jorge Prieto Letelier;Llay-Llay;
Estadio Municipal Miguel Alarcon Osores;Cauquenes;
Cancha N°2 Estadio Fiscal Manuel Moya Medel;Cauquenes;
Estadio Colegio Quillon;Quillon;
Estadio Bernardino Luna;Coronel;
Estadio Municipal Lintz;Puerto Montt;
Estadio Municipal de Chimbarongo;Chimbarongo;
Estadio Olimpico Cuyuncavi;Curacavi;
Estadio Municipal Juan Rogelio Nunez;Tome;
Estadio Modelo de Pudahuel;Santiago ;
Estadio Centenario de La Union;La Union;
Estadio Estrella Solitaria;Lampa ;
Complejo Deportivo Raimundo Tupper Lyon;Santiago ;
Estadio Municipal de Traiguen;Traiguen;
Estadio Centenario de Antofagasta;Antofagasta;
Estadio Municipal Villa Olimpica;Quilpue;
Estadio Municipal Joel Fritz;Ancud;
Estadio Municipal de Quellon;Quellon;
Estadio Municipal de Longavi;Longavi;
Estadio Municipal de Freire;Freire;
Estadio Municipal de Coihueco;Coihueco;
Estadio Municipal de Los Alamos;Los Alamos;
Estadio Fiscal Osvaldo Munoz Carrillo;Pucon;
Estadio Municipal Aurelio Dominguez;El Monte;
Estadio Municipal Amador Poblete Villagran;Perquenco;
Estadio El Alto;Padre Las Casas;
Estadio Municipal de Algarrobo;Algarrobo;
Estadio Municipal de Pichilemu;Pichilemu;
Estadio Municipal de Pitrufquen;Pitrufquen;
Estadio Municipal de Cajon;Vilcun ;
Estadio Municipal de Isla de Maipo;Isla de Maipo;
Estadio Gaete;Talcahuano;
Estadio Municipal de Coelemu;Coelemu;
