(7407, 1, 1, 1, 3)
(9111, 1, 1, 1, 3)
(9113, 1, 1, 1, 3)
(9114, 1, 1, 1, 3)
(9117, 1, 1, 1, 3)
(9118, 1, 1, 1, 3)
(9121, 1, 1, 1, 3)
(9203, 1, 1, 1, 3)
(9204, 1, 1, 1, 3)
(9205, 1, 1, 1, 3)
(9206, 1, 1, 1, 3)
(9207, 1, 1, 1, 3)
(9208, 1, 1, 1, 3)
(9210, 1, 1, 1, 3)
(10103, 1, 1, 1, 3)
(10104, 1, 1, 1, 3)
(10106, 1, 1, 1, 3)
(9110, 1, 1, 1, 3)
(9109, 1, 1, 1, 3)
(8104, 1, 1, 1, 3)
(10207, 1, 1, 1, 3)
(8203, 1, 1, 1, 3)
(8204, 1, 1, 1, 3)
(8207, 1, 1, 1, 3)
(8302, 1, 1, 1, 3)
(8306, 1, 1, 1, 3)
(8307, 1, 1, 1, 3)
(8308, 1, 1, 1, 3)
(8309, 1, 1, 1, 3)
(8311, 1, 1, 1, 3)
(8312, 1, 1, 1, 3)
(8314, 1, 1, 1, 3)
(9103, 1, 1, 1, 3)
(9104, 1, 1, 1, 3)
(9106, 1, 1, 1, 3)
(10107, 1, 1, 1, 3)
(10108, 1, 1, 1, 3)
(13504, 1, 1, 1, 3)
(13505, 1, 1, 1, 3)
(14102, 1, 1, 1, 3)
(14105, 1, 1, 1, 3)
(14107, 1, 1, 1, 3)
(14108, 1, 1, 1, 3)
(14202, 1, 1, 1, 3)
(14203, 1, 1, 1, 3)
(14204, 1, 1, 1, 3)
(15201, 1, 1, 1, 3)
(16104, 1, 1, 1, 3)
(16106, 1, 1, 1, 3)
(16107, 1, 1, 1, 3)
(16202, 1, 1, 1, 3)
(16204, 1, 1, 1, 3)
(16205, 1, 1, 1, 3)
(13502, 1, 1, 1, 3)
(11401, 1, 1, 1, 3)
(10203, 1, 1, 1, 3)
(10204, 1, 1, 1, 3)
(10205, 1, 1, 1, 3)
(10206, 1, 1, 1, 3)
(10209, 1, 1, 1, 3)
(10302, 1, 1, 1, 3)
(10303, 1, 1, 1, 3)
(10305, 1, 1, 1, 3)
(10307, 1, 1, 1, 3)
(10401, 1, 1, 1, 3)
(10402, 1, 1, 1, 3)
(10404, 1, 1, 1, 3)
(11101, 1, 1, 1, 3)
(11102, 1, 1, 1, 3)
(11301, 1, 1, 1, 3)
(11303, 1, 1, 1, 3)
(16303, 1, 1, 1, 3)
(5705, 1, 1, 1, 3)
(6307, 1, 1, 1, 3)
(5404, 1, 1, 1, 3)
(6309, 1, 1, 1, 3)
(4305, 1, 1, 1, 3)
(7103, 1, 1, 1, 3)
(4304, 1, 1, 1, 3)
(4303, 1, 1, 1, 3)
(7106, 1, 1, 1, 3)
(4302, 1, 1, 1, 3)
(5304, 1, 1, 1, 3)
(6306, 1, 1, 1, 3)
(5606, 1, 1, 1, 3)
(5403, 1, 1, 1, 3)
(6113, 1, 1, 1, 3)
(6202, 1, 1, 1, 3)
(6206, 1, 1, 1, 3)
(6302, 1, 1, 1, 3)
(6304, 1, 1, 1, 3)
(5402, 1, 1, 1, 3)
(5401, 1, 1, 1, 3)
(7107, 1, 1, 1, 3)
(4202, 1, 1, 1, 3)
(7302, 1, 1, 1, 3)
(3303, 1, 1, 1, 3)
(3202, 1, 1, 1, 3)
(7305, 1, 1, 1, 3)
(1404, 1, 1, 1, 3)
(7309, 1, 1, 1, 3)
(6308, 1, 1, 1, 3)
(3302, 1, 1, 1, 3)
(7303, 1, 1, 1, 3)
(7202, 1, 1, 1, 3)
(7201, 1, 1, 1, 3)
(4201, 1, 1, 1, 3)
(12104, 1, 0, 1, 2)
(12201, 1, 0, 1, 2)
(12301, 1, 1, 0, 2)
(12103, 1, 0, 1, 2)
(14103, 0, 1, 1, 2)
(11402, 1, 0, 1, 2)
(5704, 0, 1, 1, 2)
(5702, 0, 1, 1, 2)
(16304, 1, 0, 1, 2)
(11202, 1, 0, 1, 2)
(11203, 1, 0, 1, 2)
(5503, 0, 1, 1, 2)
(11302, 1, 0, 1, 2)
(12302, 1, 0, 1, 2)
(16302, 0, 1, 1, 2)
(12303, 1, 0, 1, 2)
(15202, 1, 0, 1, 2)
(5201, 0, 1, 1, 2)
(5302, 0, 1, 1, 2)
(4103, 0, 1, 1, 2)
